id;title;description;durationMinutes;movementType;intensity;suitableGoals;suitableWorkplaces;requiredSetup;suitablePhases;suitableWorkdayTypes;bodyArea;position;visibilityLevel;instructionStep1;instructionStep2;instructionStep3;instructionStep4;instructionStep5;instructionStep6;reason;explanation;similarityGroup;priority;migrationNote
stairs-step-reset;Ruhige Step-ups;Steige kontrolliert auf eine niedrige Stufe und wieder herunter. Halte das Tempo ruhig.;5;activate;active;more-energy|habit;office|homeoffice;stairs;break;mixed-day;legs|calves|whole-body;stairs;visible;Stelle dich vor eine niedrige Stufe.;Steige kontrolliert mit einem Fuß auf die Stufe.;Setze den zweiten Fuß kurz dazu.;Steige langsam wieder herunter.;Wiederhole die Bewegung ruhig und ohne Tempo.;;Passt in eine aktive Pause, wenn du etwas mehr Bewegung möchtest.;Die Übung ist ein kurzer Aktivierungsimpuls und bleibt bewusst arbeitsalltagstauglich.;stairs;78;
walking-call-hallway;Walking Call;Gehe während eines Telefonats langsam einen kurzen Weg und halte das Tempo entspannt.;8;walk;gentle;sit-less|more-energy|habit;office|homeoffice;hallway;phone;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Prüfe kurz, ob das Telefonat für langsames Gehen geeignet ist.;Stehe auf und gehe in sehr ruhigem Tempo los.;Wähle einen kurzen, störungsarmen Weg.;Halte das Tempo so niedrig, dass deine Stimme ruhig bleibt.;Setze dich nach dem Call oder nach einigen Minuten bewusst wieder hin.;;Passt gut zu Telefonaten, weil du dich dabei leicht bewegen kannst.;Wenn ein kurzer Weg verfügbar ist, kann ein Telefonat zu einer ruhigen Gehphase werden.;walking-call;95;
meeting-posture-switch;Diskreter Haltungswechsel;Wechsle im Meeting leise die Sitzposition, löse die Schultern und stelle beide Füße neu auf.;2;sit_reset;gentle;focus|back-neck|sit-less;office|homeoffice;no-equipment;meeting;meeting-heavy|mixed-day;spine|shoulders|hips;sitting;discreet;Bleibe im Meeting ruhig sitzen.;Stelle beide Füße bewusst stabil auf den Boden.;Richte den Oberkörper leicht auf.;Löse die Schultern und verändere die Sitzposition minimal.;Halte die neue Position für einige Atemzüge.;;Für Meetings geeignet, weil der Impuls sehr unauffällig bleibt.;Du kannst die Haltung verändern, ohne den Termin oder Call zu unterbrechen.;meeting-discreet;91;requiredSetup 22 -> no-equipment
home-window-reset;Fenster-Reset im Homeoffice;Stehe kurz auf, gehe zum Fenster und nimm ein paar ruhige Atemzüge.;3;breathing;gentle;focus|habit|back-neck;homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;breathing|eyes|whole-body;mixed;normal;Stehe vom Arbeitsplatz auf.;Gehe ruhig zum Fenster oder zu einem helleren Punkt im Raum.;Blicke kurz in die Ferne.;Nimm einige ruhige Atemzüge.;Gehe bewusst zurück und starte neu in die Aufgabe.;;Im Homeoffice fehlen oft natürliche Wege.;Diese Empfehlung schafft bewusst einen kurzen Bewegungsanlass zwischen Bildschirmphasen.;home-reset;91;requiredSetup 22 -> no-equipment
home-apartment-loop;Kurze Wohnungsrunde;Gehe eine ruhige Runde durch die Wohnung und kehre bewusst an den Arbeitsplatz zurück.;4;walk;gentle;sit-less|more-energy|habit;homeoffice;no-equipment;between-tasks|break|phone;focus-heavy|mixed-day;legs|whole-body;walking;normal;Stehe auf und verlasse kurz den direkten Arbeitsplatz.;Gehe eine ruhige Runde durch die Wohnung.;Lasse Arme und Schultern locker mitschwingen.;Kehre nach wenigen Minuten bewusst zurück.;Setze dich mit neu ausgerichteter Haltung wieder hin.;;Schafft im Homeoffice einen kurzen Bewegungsanlass.;Die Runde ersetzt einen kleinen Weg, der im Büro oft automatisch entstehen würde.;home-walk;88;requiredSetup 22 -> no-equipment
home-focus-block-reset;Reset zwischen Fokusblöcken;Stehe auf, bewege Arme und Schultern locker und starte danach bewusst in den nächsten Block.;3;mobilize;gentle;focus|back-neck|habit;homeoffice;no-equipment;between-tasks|focus;focus-heavy|mixed-day;shoulders|upper-back|whole-body;standing;normal;Stehe zwischen zwei Aufgaben bewusst auf.;Lockere Arme und Schultern für einige Sekunden.;Richte den Oberkörper auf und atme ruhig.;Bewege die Schultern langsam nach hinten unten.;Starte danach bewusst in den nächsten Fokusblock.;;Ideal zwischen zwei Aufgaben, um den nächsten Fokusblock klar zu beginnen.;Der kurze Reset verbindet Bewegung mit einem sauberen Übergang im Arbeitstag.;home-reset;85;requiredSetup 22 -> no-equipment
home-active-break-start;Aktiver Pausenstart;Beginne die Pause mit lockeren Schritten und einer einfachen Mobilisation von Schultern und Hüfte.;5;activate;balanced;more-energy|habit|sit-less;homeoffice;no-equipment;break;mixed-day|focus-heavy;shoulders|hips|legs|whole-body;mixed;visible;Beginne die Pause im Stehen.;Gehe einige lockere Schritte im Raum.;Mobilisiere Schultern mit kleinen Kreisen.;Bewege die Hüfte locker von Seite zu Seite.;Starte danach in deine eigentliche Pause.;;In der Pause darf der Impuls etwas aktiver sein.;Der Pausenstart bringt Bewegung in den Tag, ohne nach Sportprogramm zu wirken.;active-break;83;requiredSetup 22 -> no-equipment
home-end-of-day-reset;Feierabend-Reset;Stehe auf, lockere Nacken und Schultern und räume den Arbeitsplatz mit ein paar Schritten bewusst ab.;4;mobilize;gentle;habit|focus|back-neck;homeoffice;no-equipment;between-tasks;focus-heavy|mixed-day|meeting-heavy;neck|shoulders|whole-body;mixed;normal;Stehe zum Abschluss des Arbeitstags bewusst auf.;Lockere Nacken und Schultern mit kleinen Bewegungen.;Räume den Arbeitsplatz mit ein paar ruhigen Schritten auf.;Atme einmal bewusst tief ein und aus.;Verlasse den Arbeitsplatz körperlich und gedanklich.;;Hilft, den Arbeitstag körperlich abzuschließen.;Gerade im Homeoffice kann ein kurzer Reset den Übergang aus dem Arbeitsmodus unterstützen.;closing-reset;76;"requiredSetup 22 -> no-equipment; movementType von relax zu mobilize verschoben; Entspannung wird über reason/explanation abgebildet."
standing-desk-position-change;Sitz-Steh-Wechsel;Wechsle vom Sitzen ins Stehen oder zurück und richte Bildschirm, Schultern und Stand neu aus.;3;stand;gentle;sit-less|back-neck|habit;office|homeoffice;standing-desk;focus|between-tasks|meeting;focus-heavy|meeting-heavy|mixed-day;spine|shoulders|legs;mixed;normal;Wechsle vom Sitzen ins Stehen oder vom Stehen zurück ins Sitzen.;Richte die Höhe von Tisch oder Bildschirm passend aus.;Stelle beide Füße stabil auf oder setze dich bewusst aufrecht hin.;Lasse die Schultern locker.;Bleibe nicht zu lange statisch in einer Position.;;Unterbricht Sitzen, ohne direkt in weiteres statisches Stehen zu kippen.;Der Wechsel ist sinnvoll, wenn dein aktueller Arbeitsort einen höhenverstellbaren Schreibtisch hat.;stand-desk;94;
standing-desk-calf-pump;Wadenpumpe im Stand;Hebe und senke die Fersen langsam, während du kurz im Stehen arbeitest.;2;activate;gentle;more-energy|sit-less|habit;office|homeoffice;standing-desk;meeting|focus|between-tasks;meeting-heavy|mixed-day;calves|legs;standing;normal;Stelle dich stabil an den höhenverstellbaren Schreibtisch.;Hebe beide Fersen langsam vom Boden ab.;Senke die Fersen kontrolliert wieder ab.;Wiederhole die Bewegung ruhig mehrere Male.;Arbeite danach nur weiter im Stand, wenn es sich angenehm anfühlt.;;Macht eine Stehphase etwas aktiver.;So ersetzt du Sitzen nicht nur durch statisches Stehen, sondern bringst kurz Bewegung hinein.;stand-desk;82;
walking-pad-meeting-light;Leichte Walking-Phase;Gehe langsam während eines passenden Calls oder einer einfachen Arbeitsphase.;12;walking_meeting;balanced;sit-less|more-energy|habit;office|homeoffice;walking-pad;meeting|phone;meeting-heavy|mixed-day;legs|whole-body;walking;normal;Prüfe, ob der Call für langsames Gehen geeignet ist.;Starte das Walking Pad auf sehr niedriger Geschwindigkeit.;Gehe so langsam, dass du ruhig sprechen und zuhören kannst.;Halte Oberkörper und Blick entspannt.;Beende die Walking-Phase, sobald sie dich ablenkt.;;Passt gut zu Calls, weil du dich dabei leicht bewegen kannst.;Das Walking Pad wird nur empfohlen, wenn es am aktuellen Arbeitsort verfügbar ist.;walking-pad;96;
walking-pad-focus-walk;Ruhige Fokus-Walking-Phase;Gehe sehr langsam bei leichter Fokusarbeit und wechsle zurück, sobald es ablenkt.;10;walk;balanced;sit-less|more-energy;office|homeoffice;walking-pad;focus;focus-heavy|mixed-day;legs|whole-body;walking;normal;Wähle eine einfache Aufgabe, die langsames Gehen zulässt.;Starte das Walking Pad sehr langsam.;Halte Hände, Blick und Arbeitstempo entspannt.;Prüfe nach kurzer Zeit, ob die Konzentration stabil bleibt.;Wechsle zurück ins Sitzen oder Stehen, wenn es ablenkt.;;Nur für Aufgaben geeignet, bei denen langsames Gehen nicht stört.;Die Empfehlung bleibt bewusst optional und passt nur, wenn Walking Pad und Aufgabe zusammenpassen.;walking-pad;80;
exercise-space-mobility-flow;Kurzer Mobilisationsflow;Nutze den Platz neben dem Schreibtisch für einfache Bewegungen von Schultern, Hüfte und Rücken.;5;mobilize;balanced;back-neck|more-energy|habit;office|homeoffice;exercise-space;break|between-tasks;mixed-day|focus-heavy;shoulders|hips|spine|whole-body;mixed;visible;Stelle dich neben den Schreibtisch und schaffe etwas Platz.;Kreise die Schultern ruhig nach hinten.;Bewege die Hüfte locker von Seite zu Seite.;Runde und strecke den Rücken sanft im Wechsel.;Kehre nach dem Flow bewusst an den Arbeitsplatz zurück.;;Mit etwas Platz darf der Microbreak aktiver werden.;Der Flow nutzt vorhandenen Raum, bleibt aber kurz und arbeitsalltagstauglich.;exercise-space;87;
exercise-space-active-reset;Aktiver Reset neben dem Tisch;Mache lockere Kniebeugen ohne Tempo oder einen einfachen Seit-Schritt-Reset.;4;activate;active;more-energy|habit;office|homeoffice;exercise-space;break|between-tasks;mixed-day;legs|hips|whole-body;standing;visible;Stelle dich mit etwas Abstand zum Schreibtisch auf.;Mache einige langsame, kleine Kniebeugen oder seitliche Schritte.;Halte das Tempo ruhig und kontrolliert.;Lasse die Atmung gleichmäßig weiterlaufen.;Beende den Impuls, bevor er sich wie Training anfühlt.;;Ideal zwischen zwei Aufgaben, um neue Energie aufzubauen.;Der Impuls ist etwas dynamischer, bleibt aber kurz genug für den Arbeitstag.;exercise-space;79;
small-equipment-band-pull;Leichte Band-Aktivierung;Nutze ein kleines Band oder ähnliches Equipment für ruhige Zugbewegungen auf Schulterhöhe.;4;activate;balanced;back-neck|more-energy|habit;office|homeoffice;small-equipment;break|between-tasks;mixed-day|focus-heavy;shoulders|upper-back|chest;standing;visible;Nimm das Band oder kleine Equipment auf Schulterhöhe vor den Körper.;Stelle dich stabil und aufrecht hin.;Ziehe das Band langsam auseinander oder führe eine ruhige Zugbewegung aus.;Löse die Spannung kontrolliert.;Wiederhole die Bewegung langsam und ohne Schwung.;;Kleines Equipment eignet sich für kurze gezielte Aktivierung.;Die Bewegung bleibt niedrigschwellig und nutzt nur das, was am aktuellen Arbeitsort verfügbar ist.;small-equipment;82;
small-equipment-balance-seat;Aktives Sitzen kurz nutzen;Nutze Balancekissen, Ball oder ähnliches kurz bewusst und wechsle danach wieder stabil zurück.;6;sit_reset;balanced;sit-less|back-neck|habit;office|homeoffice;small-equipment;focus|between-tasks;focus-heavy|mixed-day;spine|hips|legs;sitting;normal;Setze dich bewusst auf das Balancekissen, den Ball oder die Sitzhilfe.;Stelle beide Füße stabil auf den Boden.;Richte den Oberkörper auf und finde eine aktive Sitzposition.;Halte die Position nur kurz und aufmerksam.;Wechsle danach wieder in eine stabile Sitzposition zurück.;;Ein kurzer Wechsel kann Sitzen aktiver machen.;Die Empfehlung nutzt kleines Equipment dosiert, statt daraus eine lange Trainingsphase zu machen.;small-equipment;75;
ergonomic-seat-reset;Haltungswechsel mit Sitzhilfe;Wechsle bewusst zwischen aktivem Sitzen, kurzem Stand und einer entlasteten Sitzposition.;3;sit_reset;gentle;sit-less|back-neck|habit;office|homeoffice;ergonomic-support;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;spine|hips|lower-back;mixed;normal;Nutze deine Sitz- oder Stehhilfe bewusst für einen Positionswechsel.;Wechsle kurz in eine aktive Sitzposition.;Richte Rücken und Becken neu aus.;Stehe bei Bedarf kurz auf und lockere die Beine.;Kehre danach in eine stabile, entspannte Arbeitsposition zurück.;;Nutzt deine Sitz- oder Stehhilfe für einen ruhigen Positionswechsel.;Der Wechsel bringt Variation in die Haltung, ohne zusätzlichen Platz oder Equipmentwechsel.;ergonomic-support;86;
ergonomic-standing-support;Stehhilfe bewusst nutzen;Nutze Stehhocker oder Stehmatte kurz und wechsle danach wieder in eine andere Position.;5;stand;gentle;sit-less|back-neck;office|homeoffice;ergonomic-support;meeting|between-tasks;meeting-heavy|mixed-day;legs|feet|lower-back;standing;normal;Wechsle an deine Stehhilfe, Stehmatte oder ähnliche Unterstützung.;Stelle beide Füße stabil auf.;Verteile das Gewicht ruhig und gleichmäßig.;Bleibe nur kurz in dieser Position.;Wechsle danach bewusst wieder in eine andere Haltung.;;Gut für einen ruhigen Positionswechsel am Arbeitsplatz.;Die Empfehlung macht vorhandene ergonomische Unterstützung nutzbar, ohne lange statisch zu stehen.;ergonomic-support;78;
between-tasks-energy-reset;Energie-Reset zwischen Aufgaben;Stehe auf, gehe zehn ruhige Schritte und mobilisiere kurz Handgelenke und Schultern.;3;mobilize;gentle;more-energy|focus|habit;office|homeoffice;no-equipment;between-tasks;mixed-day|focus-heavy;legs|wrists|shoulders;mixed;normal;Stehe zwischen zwei Aufgaben bewusst auf.;Gehe etwa zehn ruhige Schritte.;Lockere die Schultern kurz.;Kreise Hände und Handgelenke langsam.;Starte danach die nächste Aufgabe mit neuem Fokus.;;Ideal zwischen zwei Aufgaben, um kurz neu anzusetzen.;Der Impuls kombiniert einen kleinen Ortswechsel mit ruhiger Mobilisation.;task-transition;89;requiredSetup 22 -> no-equipment
focus-hand-wrist-reset;Handgelenke lockern;Löse Hände und Unterarme mit langsamen Kreisen und kurzem Ausschütteln.;2;mobilize;gentle;focus|back-neck|habit;office|homeoffice;no-equipment;focus;focus-heavy|mixed-day;wrists;sitting;discreet;Löse die Hände kurz von Maus und Tastatur.;Kreise beide Handgelenke langsam in eine Richtung.;Wechsle danach die Richtung.;Schüttle Hände und Finger locker aus.;Lege die Hände anschließend entspannt zurück an den Arbeitsplatz.;;Gut bei viel Tippen oder längerer Bildschirmarbeit.;Die Bewegung ist klein, ruhig und passt in eine kurze Fokus-Unterbrechung.;hands-wrists;80;requiredSetup 22 -> no-equipment
meeting-standing-option;Meeting im Stehen;Wechsle für einen kurzen Teil des Meetings in den Stand und setze dich danach bewusst wieder.;5;stand;gentle;sit-less|focus|habit;office|homeoffice;no-equipment;meeting;meeting-heavy|mixed-day;legs|spine;standing;normal;Prüfe, ob ein ruhiger Positionswechsel im Meeting passt.;Stehe langsam und unauffällig auf.;Stelle beide Füße stabil auf den Boden.;Bleibe für einen kurzen Teil des Meetings im Stand.;Setze dich danach bewusst wieder hin.;;Für Meetings geeignet, wenn ein ruhiger Positionswechsel passt.;Der Wechsel unterbricht Sitzen, ohne das Meeting in eine Bewegungspause zu verwandeln.;meeting-stand;84;requiredSetup 22 -> no-equipment
neck-side-glide-seated;Seitliche Nacken-Dehnung im Sitzen;Dehne den seitlichen Nacken ruhig und klein, ohne den Arbeitsplatz zu verlassen.;2;stretch;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;neck|shoulders;sitting;discreet;Setze dich aufrecht hin und stelle beide Füße stabil auf den Boden.;Lege eine Hand locker seitlich an den Stuhl oder auf den Oberschenkel.;Neige den Kopf langsam zur Gegenseite, bis ein sanfter Zug entsteht.;Halte die Position für einige ruhige Atemzüge.;Wechsle die Seite und führe die Bewegung langsam aus.;;Entlastet den seitlichen Nacken nach langer Bildschirmarbeit.;Die Übung ist sehr unauffällig und passt gut in kurze Fokus-Unterbrechungen.;neck-stretch;86;neu ergänzt für 80er-Bibliothek
chin-tuck-screen-reset;Kinn-zurück-Reset;Richte den Kopf sanft über der Wirbelsäule aus und löse die typische Bildschirmhaltung.;2;sit_reset;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|meeting|between-tasks;focus-heavy|meeting-heavy|mixed-day;neck|spine|upper-back;sitting;discreet;Setze dich aufrecht hin und blicke geradeaus.;Ziehe das Kinn langsam minimal nach hinten, als würdest du ein Doppelkinn machen.;Halte den Hinterkopf lang und die Schultern locker.;Löse die Position wieder ohne den Kopf nach vorne fallen zu lassen.;Wiederhole die Bewegung ruhig mehrere Male.;;Hilft gegen nach vorne geschobene Kopfhaltung.;Der Reset ist klein, leise und dadurch auch in Meetings oder Fokusphasen gut machbar.;neck-posture;88;neu ergänzt für 80er-Bibliothek
seated-chest-opener;Brustkorb-Öffnung am Stuhl;Öffne den Brustkorb kurz, um die gebeugte Bildschirmhaltung auszugleichen.;3;stretch;gentle;back-neck|focus|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;chest|shoulders|upper-back;sitting;normal;Setze dich auf die vordere Stuhlkante.;Richte dich auf und lasse die Schultern locker sinken.;Führe die Hände locker hinter den Körper oder an die Stuhlkante.;Öffne den Brustkorb sanft nach vorne oben.;Atme ruhig und löse die Position langsam wieder.;;Gleicht eine runde Sitzhaltung kurz aus.;Die Bewegung passt besonders nach längeren Schreib- oder Bildschirmphasen.;chest-opener;84;neu ergänzt für 80er-Bibliothek
desk-forearm-stretch;Unterarm-Stretch am Schreibtisch;Löse Unterarme und Handgelenke nach Tippen, Mausarbeit oder längerer Bildschirmarbeit.;2;stretch;gentle;focus|back-neck|habit;office|homeoffice;no-equipment;focus|between-tasks;focus-heavy|mixed-day;wrists;desk;discreet;Strecke einen Arm locker nach vorne aus.;Drehe die Handfläche nach oben oder unten.;Ziehe die Finger mit der anderen Hand sanft zurück.;Halte den Zug kurz und atme ruhig weiter.;Wechsle die Seite und bewege danach beide Hände locker aus.;;Gut bei viel Tastatur- und Mausarbeit.;Der Stretch ist kurz, klein und direkt am Schreibtisch umsetzbar.;hands-wrists;83;neu ergänzt für 80er-Bibliothek
ankle-circles-under-desk;Fußgelenke unter dem Tisch kreisen;Bringe Bewegung in Füße und Unterschenkel, ohne sichtbar aufzustehen.;2;mobilize;gentle;sit-less|focus|habit;office|homeoffice;no-equipment;meeting|focus;meeting-heavy|focus-heavy|mixed-day;feet|calves;sitting;discreet;Bleibe ruhig auf dem Stuhl sitzen.;Hebe einen Fuß leicht vom Boden.;Kreise das Fußgelenk langsam in eine Richtung.;Wechsle die Richtung und danach den Fuß.;Stelle beide Füße anschließend bewusst stabil auf den Boden.;;Sehr diskrete Bewegung während langer Sitzphasen.;Die Übung eignet sich besonders, wenn Aufstehen gerade nicht möglich ist.;feet-calf-mobility;82;neu ergänzt für 80er-Bibliothek
seated-calf-raises;Wadenheben im Sitzen;Aktiviere die Waden mit kleinen Fersenbewegungen, während du am Platz bleibst.;2;activate;gentle;sit-less|more-energy|habit;office|homeoffice;no-equipment;meeting|focus|between-tasks;meeting-heavy|mixed-day;calves|legs;sitting;discreet;Setze dich aufrecht hin und stelle beide Füße auf den Boden.;Hebe beide Fersen langsam an, die Zehen bleiben am Boden.;Senke die Fersen kontrolliert wieder ab.;Wiederhole die Bewegung ruhig und gleichmäßig.;Stelle die Füße danach bewusst neu auf.;;Bringt Bewegung in die Beine, ohne den Arbeitsplatz zu verlassen.;Der Impuls ist geeignet, wenn du lange sitzt, aber nicht sichtbar aufstehen möchtest.;calf-activation;85;neu ergänzt für 80er-Bibliothek
